"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
329,"NCT02676843","Tau PET Imaging With 18F-AV-1451 in Subjects With MAPT Mutations",,"Enrolling by invitation","No Results Available","Frontotemporal Lobar Degeneration|FTLD|Frontotemporal Dementia|FTD|Tauopathies","Drug: 18F-AV-1451","Evidence of Tau deposition on PET scan","Columbia University|National Institute of Neurological Disorders and Stroke (NINDS)","All","18 Years and older   (Adult, Older Adult)","Phase 2","16","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","AAAP4551|R01NS076837","April 2016","December 2017","December 2017","February 8, 2016","null","October 27, 2016","Morton A. Kreitchman PET Center, New York, New York, United States","","https://ClinicalTrials.gov/show/NCT02676843"
330,"NCT00397748","PET Scanning of Adults With Attention Deficit Hyperactivity Disorder (ADHD)",,"Completed","No Results Available","Volunteer|Attention Deficit Hyperactivity Disorder","","","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","Male","18 Years to 55 Years   (Adult)","","16","NIH","Observational","Time Perspective: Other","060246|06-M-0246","September 15, 2006","null","November 27, 2012","November 9, 2006","null","August 23, 2018","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT00397748"
331,"NCT01632189","The Effect of Varenicline on D2/D3 Receptor Binding in Smokers",,"Completed","No Results Available","Nicotine Dependence","Drug: Varenicline","[11C]-(+)-PHNO DRD2/3 binding potential (BPND)|Relationship between ability to quit smoking and changes in DRD2/3","Centre for Addiction and Mental Health|Ontario Lung Association|Pfizer","All","21 Years to 45 Years   (Adult)","Not Applicable","8","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","040/2012","September 2012","August 2015","August 2015","July 2, 2012","null","January 27, 2016","Centre for Addiction and Mental Health, Toronto, Ontario, Canada","","https://ClinicalTrials.gov/show/NCT01632189"
332,"NCT00094913","PET Changes in Alzheimer's Disease (AD)",,"Unknown status","No Results Available","Alzheimer Disease","","","National Institute on Aging (NIA)","All","20 Years to 90 Years   (Adult, Older Adult)","","105","NIH","Observational","Time Perspective: Prospective","IA0055|R01AG013616","May 2004","null","April 2005","October 29, 2004","null","May 27, 2009","Center for Brain Health, Silberstein Institute, New York University, New York City, New York, United States","","https://ClinicalTrials.gov/show/NCT00094913"
333,"NCT00484523","Constitution of a Standardized Neural Imaging Database in Healthy Subjects",,"Completed","No Results Available","Healthy","Procedure: SPET, PET and MRI","precise brain morphology","Assistance Publique Hopitaux De Marseille","All","20 Years to 80 Years   (Adult, Older Adult)","Early Phase 1","60","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","2007/09","July 2007","January 2010","null","June 11, 2007","null","August 28, 2014","CHU Timone, Marseille, France","","https://ClinicalTrials.gov/show/NCT00484523"
334,"NCT01227564","Amyloid Imaging And Safety Study Of ACC-001 In Subjects With Early Alzheimer's Disease",,"Completed","Has Results","Alzheimer's Disease","Biological: ACC-001 3 μg/ QS-21 50 μg|Biological: ACC-001 10 μg/ QS-21 50 μg|Other: Placebo- Phosphate buffered saline (PBS)","Change From Baseline in Brain Fibrillar Beta-Amyloid Protein (Aβ) at Week 104 as Measured by Standard Uptake Value Ratios (SUVRs) Over the Composite Regions of Interest (ROIs)","Pfizer|JANSSEN Alzheimer Immunotherapy Research & Development, LLC","All","50 Years to 80 Years   (Adult, Older Adult)","Phase 2","63","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","B2571010|3134K1-2208","February 2011","February 2014","February 2014","October 25, 2010","February 25, 2016","February 25, 2016","Banner Alzheimer's Institute, Phoenix, Arizona, United States|Banner Good Samaritan Medical Center, Phoenix, Arizona, United States|Banner Boswell Medical Center, Sun City, Arizona, United States|Banner Lakes Imaging Center, Sun City, Arizona, United States|Banner Sun Health Research Institute, Sun City, Arizona, United States|Southwest PET Institute, Tucson, Arizona, United States|University of Arizona, Health Sciences Center - Department of Neurology, Tucson, Arizona, United States|Universal Medical Center, Tucson, Arizona, United States|Northwest NeuroSpecialists, LLC, Tucson, Arizona, United States|Radiology Limited, Tucson, Arizona, United States|Pacific Neuroscience Medical Group, Oxnard, California, United States|GCRC (Drug administered), New Haven, Connecticut, United States|Yale University School of Medicine, Alzheimer's Disease Research Unit, New Haven, Connecticut, United States|Investigational Drug Service, New Haven, Connecticut, United States|Norman S. Werdiger, MD, New Haven, Connecticut, United States|Clinical Research Unit, Washington, District of Columbia, United States|Georgetown University Hospital, Washington, District of Columbia, United States|Georgetown University Medical Center Department of Neurology, Washington, District of Columbia, United States|Meridien Research, Brooksville, Florida, United States|Florida Neurology Group PL, Fort Myers, Florida, United States|Internal Medicine Associates of Lee County, MD, PA, Fort Myers, Florida, United States|Neuropsychiatric Research Center of Southwest Florida, Fort Myers, Florida, United States|Florida Radiology Leasing, Limited Liability Corporation, Fort Myers, Florida, United States|Radiology Regional Center, Fort Myers, Florida, United States|Mount Sinai Medical Center, Miami Beach, Florida, United States|Miami Jewish Health Systems, Miami, Florida, United States|Premiere Research Institute (Palm Beach Neurology), West Palm Beach, Florida, United States|Massachusetts General Hospital (For PET only), Boston, Massachusetts, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States|Cleveland Clinic Lou Ruvo Center for Brain Health, Las Vegas, Nevada, United States|Steinberg Diagnostic Imaging, Las Vegas, Nevada, United States|Nevada Cancer Institute, Las Vegas, Nevada, United States|Memory Enhancement Center of America, Incorporated, Eatontown, New Jersey, United States|Satatoga PET Associates, Clifton Park, New York, United States|Rhode Island Mood and Memory Research Institute, East Providence, Rhode Island, United States|Butler Hospital, Providence, Rhode Island, United States|Baylor College of Medicine, Department of Neurology, Houston, Texas, United States|The Memory Clinic, Bennington, Vermont, United States|The Pharmacy Inc., Bennington, Vermont, United States","","https://ClinicalTrials.gov/show/NCT01227564"
335,"NCT00343707","PET (Positron Emission Tomography)/Public Speaking Study With A Combination Of 2 Medications In Social Anxiety Patients",,"Completed","No Results Available","Depressive Disorder and Anxiety Disorders","Drug: vestipitant|Drug: paroxetine","To assess, by mean of Positron Emission Tomography, the degree of regional Cerebral Blood Flow in different brain regions involved in the emotional brain circuit during public speaking task before treatment and after eight weeks of treatment.|To assess symptomatic and physiological measures of anxiety induced by the public speaking task and social anxiety symptoms during eight weeks of treatment. To evaluate safety, tolerability and the effect on sexual function of treatment.","GlaxoSmithKline","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","72","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","NKP102280","November 2004","November 2005","November 2005","June 23, 2006","null","September 15, 2016","GSK Investigational Site, Uppsala, Sweden","","https://ClinicalTrials.gov/show/NCT00343707"
336,"NCT02996916","Efficacy of Olmesartan on Cerebral Glucose Metabolism, Vascular Inflammation and Adipose Tissue",,"Recruiting","No Results Available","Efficacy of Olmesartan on Cerebral Glucose Metabolism in Essential Hypertension","Drug: Olmesartan|Drug: Amlodipine","Effects of treatment on the nominal change in cerebral glucose metabolism from baseline after 6 months of treatment as measured by FDG-PET/CT|Change from baseline in vascular inflammation measured by blood-normalized standardized uptake value, known as a target-to-background ratio (TBR) by FDG-PET/CT|Change from baseline in abdominal and muscle fat volume as measured by CT|Change from baseline in circulating inflammatory markers including hsCRP (mg/L), adiponectin (µg/mL), ADMA (nmoL/mL), DPP-4 (ng/mL), advanced glycation end products (AGEs, µg/mL) and angiotensin-(1-7) (ng/mL)","Kurume University","All","20 Years and older   (Adult, Older Adult)","Phase 4","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Olme-brain","December 2015","December 2018","December 2020","December 19, 2016","null","December 20, 2016","Kurume University Hospital, Kurume, Japan","","https://ClinicalTrials.gov/show/NCT02996916"
337,"NCT00855868","Ability Of ([18F]-AV-45) PET Scan to Distinguish Alzheimer's Disease Subjects From Cognitively Normal Individuals",,"Completed","Has Results","Alzheimer's Disease","Drug: florbetapir F 18|Drug: [11C]-PIB","Differences in Standard Uptake Value Ratio (SUVR) for Frontal Cortex/Cerebellum and Whole Brain/Cerebellum of the Positron Emission Tomography (PET) Scan With [18F]-AV-45 for Probable Alzheimer's Disease (AD) Versus Cognitively Normal Subjects.","Avid Radiopharmaceuticals|American College of Radiology Imaging Network|General Electric","All","55 Years to 90 Years   (Adult, Older Adult)","Phase 2","28","Industry|Other","Interventional","Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic","ACRIN PA 4003","March 2009","January 2011","January 2011","March 5, 2009","July 26, 2012","July 26, 2012","Research Site, Philadelphia, Pennsylvania, United States","","https://ClinicalTrials.gov/show/NCT00855868"
338,"NCT03307993","Positron Emission Tomography (PET) Study in Patients With Alzheimer's Disease",,"Terminated","No Results Available","Alzheimer's Disease","Drug: Idalopirdine","5-HT6 Receptor Occupancy (RO)|Idalopirdine plasma concentration (CPET)","H. Lundbeck A/S","All","50 Years and older   (Adult, Older Adult)","Phase 1","3","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","17475A","September 22, 2017","February 19, 2018","February 19, 2018","October 12, 2017","null","April 4, 2018","Johns Hopkins Hospital, Baltimore, Maryland, United States","","https://ClinicalTrials.gov/show/NCT03307993"
339,"NCT00250172","PET Whole Body Biodistribution and Test Retest Bain Imaging Studies Using a Phosphodiesterase 4 Inhibitor (R)-[11C]Rolipram",,"Completed","No Results Available","Dosimetry|Healthy","Drug: [C-11](R)-rolipram","","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","26","NIH","Interventional","Primary Purpose: Treatment","060002|06-M-0002","October 31, 2005","February 5, 2009","February 5, 2009","November 7, 2005","null","August 8, 2018","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT00250172"
340,"NCT01228448","In-Room PET in Proton Radiation Therapy",,"Recruiting","No Results Available","Brain Tumor|Head and Neck Tumor|Skull Base Tumor","Procedure: PET scan","Effectiveness|Optimize the in-room PET acquisition length","Massachusetts General Hospital|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","39","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","10-241","October 2010","December 2018","December 2018","October 26, 2010","null","March 8, 2018","Massachusetts General Hospital, Boston, Massachusetts, United States","","https://ClinicalTrials.gov/show/NCT01228448"
341,"NCT01000870","Safety and Efficacy of Positron Emission Tomography Imaging With MNI-513",,"Terminated","No Results Available","Alzheimer Disease","Drug: MNI-513-01","To evaluate the efficacy and safety of MNI-513 positron emission tomography (PET) for detection/exclusion of cerebral amyloid beta in patients with Alzheimer's disease compared to healthy volunteers","Institute for Neurodegenerative Disorders","All","55 Years and older   (Adult, Older Adult)","Early Phase 1","6","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","MNI-513-01","October 2009","September 2010","September 2010","October 23, 2009","null","October 6, 2010","Institute for Neurodegenerative Disorders, New Haven, Connecticut, United States","","https://ClinicalTrials.gov/show/NCT01000870"
342,"NCT00180193","F-18-OMFD-PET for Radiotherapy Treatment Planning and Evaluation of Early Therapy Response",,"Terminated","No Results Available","Brain Tumor","","","Technische Universität Dresden|Advanced Biochemical Compounds GmbH","All","18 Years and older   (Adult, Older Adult)","","40","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","ABX-OMFD-FU","December 2003","null","null","September 16, 2005","null","August 26, 2009","Department of Nuclear Medicine, Dresden, Germany","","https://ClinicalTrials.gov/show/NCT00180193"
343,"NCT01545310","A Positron Emission Tomography Study of SLV354 in Healthy Subjects and Subjects With Schizophrenia",,"Completed","No Results Available","Schizophrenia","Drug: SLV354","Brain receptor occupancy|Pharmacokinetic profile","Abbott","Male","18 Years to 55 Years   (Adult)","Phase 1","18","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)","M12-700","May 2011","July 2012","July 2012","March 6, 2012","null","September 18, 2012","Site Reference ID/Investigator# 52162, New Haven, Connecticut, United States","","https://ClinicalTrials.gov/show/NCT01545310"
344,"NCT01028209","Evaluation of [18F] PBR06 and PET as a Marker of Inflammation in Subjects With Neurological Conditions","PBR06","Terminated","No Results Available","Alzheimer Disease|Parkinson Disease|Multiple Sclerosis","Drug: [18F] PBR06","To evaluate [18F] PBR06 PET imaging as a tool to detect microglial activation in the brain of AD, PD and MS research participants.","Institute for Neurodegenerative Disorders","All","18 Years and older   (Adult, Older Adult)","Phase 1","12","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","PBR06 001","November 2009","April 2010","September 2010","December 9, 2009","null","October 11, 2010","Institute for Neurodegenerative Disorders, New Haven, Connecticut, United States","","https://ClinicalTrials.gov/show/NCT01028209"
345,"NCT02237703","Kappa Opioid Receptor Imaging in Post-traumatic Stress Disorder (PTSD)",,"Terminated","No Results Available","Post-traumatic Stress Disorder (PTSD)|Trauma","Other: Positron emission tomography (PET) imaging","Volume of distribution (VT) of cerebral KOR expression in PTSD and healthy control subjects with and without trauma history using the KOR radioligand [11C]LY2795050 and PET","New York University School of Medicine|Yale University","All","18 Years to 55 Years   (Adult)","","17","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","S12-01521","March 2012","March 2015","August 2016","September 11, 2014","null","January 20, 2017","NYU School of Medicine, New York, New York, United States","","https://ClinicalTrials.gov/show/NCT02237703"
346,"NCT00986973","Fluorodeoxyglucose Positron Emission Tomography (FDG PET) Findings in Patients With Phenylketonuria Before and After KUVAN Therapy","PKU","Completed","Has Results","Phenylketonuria","Drug: Sapropterin","Plasma Phenylalanine Level (mg/dl)|Hopkins Verbal Learning Test (HVLT) Total Recall|Hopkins Verbal Learning Test (HVLT) Delayed Recall|Paced Auditory Serial Addition Task (PASAT)|Symbol-Digit Modalities Test (SMTD)|Wechsler Adult Intelligence Scale (WAIS-IV)-Digit Span|Delis-Kaplan Executive Function System Verbal Fluency Subtest (D-KEFS)","Children's Hospital of Philadelphia","All","18 Years to 50 Years   (Adult)","Not Applicable","6","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","IRB 09-007154","March 2010","July 2011","September 2011","September 30, 2009","May 12, 2015","June 8, 2015","Children's Hospital of Philadelphia, Section of Metabolism,PKU program, Philadelphia, Pennsylvania, United States","","https://ClinicalTrials.gov/show/NCT00986973"
347,"NCT01359852","A Study of [11C]JNJ-42491293, a Possible PET Ligand for the mGlu2 Receptor, in Healthy Adult Volunteers",,"Completed","No Results Available","Healthy","Drug: [11C] JNJ-42491293|Drug: [11C] JNJ-42491293 + JNJ-40411813","Metabolism (uptake, distribution, and clearance) of [11C] JNJ-42491293 in brain (Part B)|Adverse events (All Parts)|Biodistribution of [11C] JNJ-42491293 (Part A)|Radiation dosimetry of [11C] JNJ-42491293 (Part A)|Peripheral metabolism of [11C] JNJ-42491293 (Part B)|Distribution of [11C] JNJ-42491293 in the brain by pre-treatment with single oral doses of JNJ-40411813 (Part C and Part D)|Clearance rate of JNJ-40411813 from the brain (Part D)","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.","Male","18 Years to 45 Years   (Adult)","Phase 1","20","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)","CR017848|42491293EDI1001|2010-022063-36","December 2010","July 2011","July 2011","May 25, 2011","null","July 22, 2011","","","https://ClinicalTrials.gov/show/NCT01359852"
348,"NCT01526005","Brain Nicotine Receptor Density & Response to Nicotine Patch",,"Completed","No Results Available","Cigarette Smoking","Drug: Transdermal Nicotine Patch|Drug: Transdermal Placebo Patch","PET scanning","Brentwood Biomedical Research Institute","All","18 Years to 55 Years   (Adult)","","50","Other","Observational","Observational Model: Case Control|Time Perspective: Prospective","0015","March 2012","January 2014","null","February 3, 2012","null","January 27, 2015","West Los Angeles Veterans Affairs Medical Center, Los Angeles, California, United States","","https://ClinicalTrials.gov/show/NCT01526005"
349,"NCT01153607","Evaluation of the Diagnostic Potential of BAY1006578 in Probable Alzheimers Disease Patients Versus Healthy Volunteers and Radiation Dosimetry of BAY1006578 in Healthy Volunteers",,"Completed","No Results Available","Diagnostic Imaging","Drug: BAY1006578","Discrimination of probable Alzheimer's Disease patients from healthy volunteers by BAY1006578 brain Positron Emission Tomography (PET) imaging as evaluated by different quantification approaches|Discrimination of probable Alzheimer's Disease patients from healthy volunteers by BAY1006578 brain Positron Emission Tomography (PET) imaging as evaluated by visual analysis and by standard parameters (e.g. Standardized Uptake Values=SUV)|Electrocardiogram (ECG)|Blood pressure|Adverse events collection","Piramal Imaging SA","All","50 Years and older   (Adult, Older Adult)","Phase 1","24","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","14708|2009-017166-24","June 2010","October 2011","October 2011","June 30, 2010","null","January 21, 2013","Turku, Finland|Stockholm, Sweden","","https://ClinicalTrials.gov/show/NCT01153607"
350,"NCT01165632","Fluorine F 18 Fluorodopa-Labeled PET Scan in Planning Surgery and Radiation Therapy in Treating Patients With Newly Diagnosed High- or Low-Grade Malignant Glioma",,"Active, not recruiting","No Results Available","Adult Anaplastic Astrocytoma|Adult Anaplastic Ependymoma|Adult Anaplastic Oligodendroglioma|Adult Brain Stem Glioma|Adult Diffuse Astrocytoma|Adult Ependymoma|Adult Giant Cell Glioblastoma|Adult Glioblastoma|Adult Gliosarcoma|Adult Mixed Glioma|Adult Myxopapillary Ependymoma|Adult Oligodendroglioma|Adult Pilocytic Astrocytoma|Adult Pineal Gland Astrocytoma|Adult Subependymal Giant Cell Astrocytoma|Adult Subependymoma","Procedure: biopsy|Procedure: computed tomography|Procedure: therapeutic conventional surgery|Radiation: radiation therapy treatment planning/simulation|Radiation: radiation therapy|Procedure: magnetic resonance imaging|Procedure: positron emission tomography|Drug: fluorine F 18 fluorodopa","18F-FDOPA PET activity, MRI contrast enhancement, and high- or low-grade glioma biopsies|18F- FDOPA-PET metabolic imaging information|Concordance of 18F-FDOPA PET and 11C-choline activity, MRI contrast enhancement, and high- or low-grade glioma biopsies|With and without 18F- FDOPA PET, 11C-choline PET metabolic imaging information|18F-FDOPA PET activity, 11C-choline PET activity, MRI contrast enhancement, pMRI, and DTI, with high- or low-grade glioma biopsies","Mayo Clinic|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","30","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","MC1078|NCI-2010-01607|10-001904","July 2010","August 26, 2016","July 2018","July 20, 2010","null","May 1, 2018","Mayo Clinic, Rochester, Minnesota, United States","","https://ClinicalTrials.gov/show/NCT01165632"
351,"NCT02237677","CB1 Receptor PET Imaging Reveals Gender Differences in PTSD",,"Terminated","No Results Available","Post-traumatic Stress Disorder (PTSD)","Other: Positron emission tomography (PET) imaging","Volume of distribution (VT) of cerebral CB1 receptor expression in PTSD and controls within a fear circuit of brain regions that regulate stress-related behaviors using the CB1 radioligand carbon - 11 (11C) [11C]OMAR and PET.","New York University School of Medicine|Yale University","All","18 Years to 55 Years   (Adult)","","36","Other","Observational","Observational Model: Case Control|Time Perspective: Cross-Sectional","12-02787","June 2012","March 2016","March 2016","September 11, 2014","null","August 17, 2016","NYU School of Medicine, New York, New York, United States","","https://ClinicalTrials.gov/show/NCT02237677"
352,"NCT02081482","Cerebral Metabolism in Patients With Refractory Chronic Cluster Headache Treated by Occipital Nerve Stimulation","MET-ONS","Unknown status","No Results Available","Refractory Chronic Cluster Headache","Radiation: 18F-FDG PET","Comparison of cerebral metabolism","Centre Hospitalier Universitaire de Nice","All","18 Years and older   (Adult, Older Adult)","Not Applicable","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","13-AOI-05","March 2014","July 2015","August 2016","March 7, 2014","null","March 21, 2016","CHU -Hôpital Gabriel Montpied, Clermont Ferrand, France|Institut des Neurosciences, Marseille, France|Département d'Evaluation et Traitement de la Douleur - Pôle Neurosciences Cliniques - Centre Hospitalo-Universitaire de Nice, Nice, France|Centre d'Urgence Céphalées, Paris, France","","https://ClinicalTrials.gov/show/NCT02081482"
353,"NCT01721473","Brain Nicotine Receptor Density in Veteran Smokers","BNRDVS","Completed","No Results Available","Positron Emission Tomography","","Rating scales, 2-FA PET scan, and MRI scan","VA Office of Research and Development","All","18 Years to 65 Years   (Adult, Older Adult)","","184","U.S. Fed","Observational","Observational Model: Other|Time Perspective: Prospective","NURA-02-11S","January 1, 2013","June 30, 2018","June 30, 2018","November 5, 2012","null","July 18, 2018","VA San Diego Healthcare System, San Diego, CA, San Diego, California, United States|VA Greater Los Angeles Healthcare System, West Los Angeles, CA, West Los Angeles, California, United States","","https://ClinicalTrials.gov/show/NCT01721473"
354,"NCT02076152","FMISO PET Study of Glioblastoma",,"Recruiting","No Results Available","Recurrent Glioblastoma","Device: FMISO PET|Device: MRI|Drug: Bevacizumab|Drug: CCNU","Change in Tumor blood flow/perfusion|Change in tumor hypoxic volume|Blood vessel permeability (Ktrans change on MRI scan)|Tumor blood flow measured by MRI perfusion","Massachusetts General Hospital|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","40","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","13-482|R01CA129371","February 2014","May 2019","January 2020","March 3, 2014","null","June 11, 2018","Massachusetts General Hospital, Boston, Massachusetts, United States","","https://ClinicalTrials.gov/show/NCT02076152"
355,"NCT02424656","Alterations in the Brain's Connectome After Severe Traumatic Brain Injury","ABCinTBI","Active, not recruiting","No Results Available","Traumatic Brain Injury|Disorders of Consciousness","Procedure: MRI|Procedure: TMS-EEG|Procedure: FDG-PET|Other: Clinical scales","Changes in whole brain connectivity as a measure of recovery of consciousness","Danish Research Centre for Magnetic Resonance|University of Milan|University of Kiel|Glostrup University Hospital, Copenhagen|Lundbeck Foundation|Danish Council for Independent Research|Region Capital Denmark","All","18 Years to 65 Years   (Adult, Older Adult)","","50","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","H-4-2013-186","September 2014","December 2018","December 2018","April 23, 2015","null","August 23, 2018","Danish Research Centre for Magnetic Resonance, Copenhagen, Denmark","","https://ClinicalTrials.gov/show/NCT02424656"
356,"NCT01483469","A Human Proof of Concept Study for [11C]-RO5011232 as Radiotracer and Study of the Binding of RO4917523 to Human mGlu5 Brain Receptor at Steady-State in Healthy Volunteers",,"Completed","No Results Available","Healthy Volunteer","Drug: RO4917523|Drug: RO5011232","Part I: mGlu5 receptor binding of [11C]-RO5011232 radiotracer in human brain, assessed by positron emission tomography (PET)|Part II: Dosimetry/radiation safety of [11C]-RO5011232 assessments by whole body PET scan|Part III: Measurement of test-retest precision of PET images of regions of interest in the human brain|Part IV: Correlation between RO4917523 plasma concentration and R04917523 binding to mGlu5 receptor in brain|Safety of [11C]-RO5011232 administered intravenously at microdose level: Incidence of adverse events|Part IV: In vitro binding potential (reference region with no specific binding of radiotracer) assessed by PET|Part IV: Safety of 14-day treatment with RO4917523: Incidence of adverse events","Hoffmann-La Roche","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","56","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)","BP27890","December 2011","October 2013","October 2013","December 1, 2011","null","November 2, 2016","Baltimore, Maryland, United States|Baltimore, Maryland, United States","","https://ClinicalTrials.gov/show/NCT01483469"
357,"NCT03270579","A Study to Investigate the Regional Brain Kinetics of the Positron Emission Tomography Ligand [18F]JNJ-64511070",,"Completed","No Results Available","Healthy","Drug: [18F]JNJ-64511070","Part A: Effective Radiation Dose Following Injection of [18F]JNJ-64511070|Part B: Total and Regional Brain Compartmental Kinetics for Volume of Distribution of [18F]JNJ-64511070 in Brain|Number of Participants With Adverse Events as a Measure of Safety and Tolerability","Janssen Research & Development, LLC","Male","18 Years to 55 Years   (Adult)","Phase 1","8","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","CR108379|2017-002262-47|64140284EDI1002","September 12, 2017","February 6, 2018","February 6, 2018","September 1, 2017","null","April 12, 2018","UZ Leuven Gasthuisberg, Leuven, Belgium","","https://ClinicalTrials.gov/show/NCT03270579"
358,"NCT00814957","An Open Label Positron Emission Tomography (PET) Study of GSK618334 in Healthy Male Subjects Using 11C-PHNO as PET Ligand",,"Completed","No Results Available","Substance Dependence","Drug: GSK618334","Binding of PHNO, PET ligand, in each region of interest at each scan.|Percentage of PHNO, PET ligand, occupancy in each region of interest after a single oral dose of GSK618334 for each individual.|Time course of GSK618334 concentration in blood following a single oral dose.|Adverse events and other safety assessments such as clinically relevant changes in electrocardiography (ECG); vital signs (blood pressure, heart rate); laboratory safety data and physical examination.|Measuring GSK618334 in the body (pharmacokinetic endpoints): PK parameters of GSK618334 Cmax, AUCinf, tmax.","GlaxoSmithKline","Male","30 Years to 55 Years   (Adult)","Phase 1","12","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","110269","December 8, 2008","June 11, 2009","June 11, 2009","December 25, 2008","null","July 7, 2017","GSK Investigational Site, Harrow, Middlesex, United Kingdom","","https://ClinicalTrials.gov/show/NCT00814957"
359,"NCT01461109","Research Involving Subjects With Parkinson's Disease, Alzheimer Disease and Healthy Controls",,"Completed","No Results Available","Parkinson Disease|Alzheimer Disease","Drug: [18F] CFPyPB","To assess the dynamic uptake and washout of [18F] CFPyPB|Perform blood metabolite characterization of [18F] CFPyPB|To obtain safety data|Obtain test/retest reproductibility","Institute for Neurodegenerative Disorders","All","18 Years to 90 Years   (Adult, Older Adult)","Phase 1","4","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)","GlyT1-01","August 2011","September 2012","May 2014","October 27, 2011","null","June 4, 2014","Institute_Neurodegenerative_Disorders, New Haven, Connecticut, United States","","https://ClinicalTrials.gov/show/NCT01461109"
360,"NCT03278119","Sleep Aging and Risk for Alzheimer's 2.0","SARA","Recruiting","No Results Available","Alzheimer Disease|Sleep Apnea","Diagnostic Test: PET Scan and nocturnal polysomnography","Establishing how mild-to-moderate OSA increases AD risk will inform novel preventive therapies for AD.|Establishing that SWS quality is associated with longitudinal amyloid deposition will identify a key mechanism by which age increases AD risk.","New York University School of Medicine","All","55 Years to 75 Years   (Adult, Older Adult)","","124","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","17-01005","May 1, 2018","May 30, 2023","May 30, 2023","September 11, 2017","null","May 9, 2018","NYU Center for Brain Health, New York, New York, United States","","https://ClinicalTrials.gov/show/NCT03278119"
